Question,Answer,Class,
"What is ether (ETH)?
","Ether is Ethereum’s native token and the fuel that powers the Ethereum blockchain. On Ethereum, each operation (many of which can be combined to create a single unique smart contract or transaction) requires a certain amount of computing energy to perform. Because miners must use energy to complete these operations, a unit of measurement was created to monitor and compensate miners for the work they spend running transactions and smart contracts. This unit of measurement is called gas. Gas is a unit of measurement that is unique to the Ethereum blockchain and that measures the computational work required to run transactions or smart contracts within the EVM. The more energy required to run an operation (i.e. a more complex piece of code), the more gas is required. The value of each unit of gas is expressed in ether. Ether therefore provides an incentive for miners to validate blocks of transactions and for developers to write concise, quality code. ETH is the symbol for ether. Note that “eth” is also a command line used for importing the Ethereum wallet. ",address,
"What is an ETH address?
","All cryptocurrencies require addresses, or public identifiers, to send and receive funds. An ETH address is specific to Ethereum’s ether currency. Miners also need to set up an “etherbase,” which is a set address that will collect earnings from mining
",mining,
"How can I earn ether (ETH)?

","There are a variety of ways to earn ETH, both on and off the Ethereum blockchain. ETH is one of the most popularly traded cryptocurrencies and available on most exchanges. ETH is also becoming an increasingly popular way to compensate freelancers. Global freelance marketplaces like Bounties Network allow developers, designers, translators, and users from various disciplines to earn ETH for fulfilling tasks. Of course, mining Ethereum and supporting the network is one way to be rewarded in ETH. ",transfer,
"How long does it take to transfer ether?
","Ethereum confirmation times vary widely depending upon the amount of gas one is willing to spend, along with other market factors
",gas,
"What is the gas limit in Ethereum?
","The Ethereum gas limit is one of three core concepts of ether. The others are cost and price. Limits are set as the maximum payment one is willing to incur to complete a transaction. If a gas limit is set too low, it is possible that the transaction will fail. This is because the miner who attempts the transaction will go on and execute operations until the gas limit is reached. If additional operations are required, then the miner keeps the gas as fees for work done and the system records the transaction as “failed.” Gas limits are important because they protect both users and miners from faulty codes and network attacks. They are relevant because the dynamic nature of the Ethereum blockchain is comprised of a variety of smart contract operational levels. Not all transactions are the same and therefore require different amounts of gas to fuel their operations. 
",gas limit,
"What is Ethereum coded in?
","Ethereum smart contracts can be coded in Solidity, Serpent, LLL, and Mutan. These are contract-oriented, high-level languages. Their purpose is to target the Ethereum Virtual Machine (EVM) to provide a means for smart contracts. The Ethereum protocol has been developed using a variety of languages, from C++ to Python, Ruby, Go, Java, Rust, and more. 

",language,
"What is Ethereum used for?
","There are a wide range of Ethereum use cases and applications, from payment settlement to supply chain tracking to digital identity management. Ethereum’s flexibility, modularity, agility, and scalability has attracted thousands of developers to the ecosystem, as well as global enterprises that are interested in deploying blockchain solutions to meet critical business needs. 

",dapps,
"What is the Enterprise Ethereum Alliance?
","The Enterprise Ethereum Alliance (EEA) was formed in 2017 to accelerate the adoption of Ethereum in enterprise endeavors and to provide global standards for Enterprise Ethereum development. The Alliance uses an open architecture for testing and certification and focuses on providing resources for trust, privacy, and performance to foster a community that supports open source blockchain solutions. ",consortium,
"What’s the difference between Bitcoin and Ethereum?
","Many of the underlying principles of Bitcoin and Ethereum are the same. They share many cryptographic functions common to blockchain technology, and both blockchain networks currently use a Proof of Work consensus algorithm. However, Ethereum was developed to address opportunities that are beyond the scope of the Bitcoin blockchain. The key element that distinguishes Ethereum from Bitcoin is smart contracts––agreements that are embedded in code so that they can automatically execute. Among the other fundamental differences between Bitcoin and Ethereum are their programming languages. Bitcoin uses a stack-based language while Ethereum uses a Turing-complete language. Their block times and hashing algorithms are also different.",difference,
"What’s better, Bitcoin or Ethereum?
","Bitcoin and Ethereum both offer unique advantages. Bitcoin was the first blockchain and has therefore seen broad adoption as a fair payment settlement solution. Ethereum was developed to meet the needs that Bitcoin created a demand for after disrupting the way that digital networks are architected and governed. Ethereum’s smart contracts make it much more than a payment solution. It has applications in supply chain tracking, energy and sustainability, real estate, government, and many other sectors. Given the current state of blockchain systems, Ethereum’s architecture most closely resembles what is required of a universal root chain that can provide decentralized and secure base layer settlement for interoperating blockchain networks. 

",unique,
"What is Byzantium Ethereum?

","In October 2017, Ethereum initiated a hard fork for its Byzantium update. Byzantium was part of Ethereum’s third-stage release, called Metropolis live. Byzantium brought nine Ethereum Improvement Protocols (EIPs) that improved privacy, scalability, and security throughout the network. The Byzantium upgrade was followed by the Constantinople hard fork in February 2019, which integrated five EIPs and reduced the block reward from 3 to 2 ETH. 

",byzantium,
"What is Ethereum mining?
","On the Ethereum blockchain, miners currently use a Proof of Work (PoW) algorithm to settle transactions. They are rewarded financially for their efforts. There are ongoing plans to make Ethereum a Proof of Stake (PoS) system. Proof of Stake dictates that two-thirds of validators must stake ETH on the next block, meaning the financial incentive is much riskier for potential malicious actors. 

",mining,
"How long does it take to mine Ethereum?
","Ethereum is mined in blocks. According to ethstats.io, the average Ethereum block time as of July 2019 is approximately 13 seconds.

",mining,
"What is the hashrate of Ethereum?
","Hashrate refers to the speed at which an Ethereum miner operates, specifically the number of hashes guessed per second for solving the nonce of a block of transactions. According to ethstats.io, the average Ethereum network hashrate as of July 2019 is 166.46 TH/s. 


",hashrate,
"Can I mine Ethereum?

","Mining Ethereum becomes increasingly difficult over time. Most miners use a mining pool, which allows participants to pool their hashing power. Currently, solo mining is very difficult––it can take years to find a single block. Mining pools however have proven to deliver consistent profits to participants.

",mine,
"Can my computer mine Ethereum?
","Your computer’s ability to mine Ethereum depends upon your GPU power. While dedicated mining hardware is often recommended, some powerful computers can contribute to a mining pool. 

",mine,
"What is Ethereum difficulty?
","Ethereum difficulty refers to miners’ hashing function and the difficulty of finding a new block. At higher difficulties, it is harder for miners to find valid blocks. According to ethstats.io, the average difficulty of the Ethereum network as of July 2019 is 2.2075 PH.  

",difficulty,
"What do you need to mine Ethereum?
","While there are cloud mining applications that offer people the opportunity to share in the profits of mining Ethereum, it is not a pure form of mining. This is more of an investment or rental option. Mining ETH alone is currently impractical, so most miners participate in mining pools, which generally proves more profitable. Dedicated mining hardware is advised even to mine as part of a pool. 


",mine,
"Can you mine Ethereum on a laptop?
","Yes, it is possible to mine Ethereum using a laptop. You will need to install specific software for your OS. However, mining Ethereum on a personal computer is currently impractical. Many products are available with dedicated hardware specifically for mining. They are made to operate efficiently so that miners can maximize their profits. 

",mine,
"How much Ethereum can I mine in a day?
","The reward for mining Ethereum depends on several factors: your equipment, whether you participate in a mining pool, and the state of the blockchain. According to Alethio’s 2018 research report on mining pools, miners in the top four mining pools received approximately 0.04% payout. This payout is more lucrative than it seems considering that the top five pools were found to mine 84% of all newly found blocks. For example, Ethermine, the top mining pool for the week measured, found 11,235 blocks.

",mine,
How is the hash (Block signature) generated,"he process of generating a block signature involves:

Passing transaction details through a one-way hash function i.e., SHA-256.
Running the output value through a signature algorithm (like ECDSA) with the user’s private key.
Following these steps, the encrypted hash, along with other information (such as the hashing algorithm), is called the digital signature.",hash,
 What is a smart contract and list some of its applications,"Smart contracts are self-executing contracts which contain the terms and conditions of an agreement between the peers

Some of the applications are:

Transportations: Shipment of goods can be easily tracked using smart contracts

Protecting copyrighted content: Smart contracts can protect ownership rights such as music or books

Insurance: Smart contracts can identify false claims and prevent forgeries

Employment contract: Smart contracts can be helpful to facilitate wage payments",smart contract,
What is Ethereum network and how many Ethereum networks are you familiar with?,"Ethereum is a blockchain-based distributed computing platform featuring smart contract functionality that enables users to create and deploy their decentralized applications

There are three types of networks in Ethereum:

Live network (main network) - Smart contracts are deployed on the main network
Test network (like Ropsten, Kovan, Rinkeby) - Allow users to run their smart contracts with no fees before deploying it on the main network  
Private network - Are those which are not connected to the main network. They run within the premises of the organization but carry the features of an Ethereum network.",networks,s
Where do nodes run a smart contract code,"Nodes run smart contracts code on Ethereum Virtual Machine (EVM). It is a virtual machine designed to operate as a runtime environment for Ethereum-based smart contracts.

EVM is operated in a sandboxed environment (isolated from the main network). This is a perfect testing environment.

You can download the EVM, run your smart contract locally in an isolated manner and once you have tested and verified it, you can deploy it on the main network.",noes,
"What is a Dapp and how is it different from a normal application?
","A Dapp is a decentralized application which is deployed using smart contract
A Dapp has its back-end code (smart contract) which runs on a decentralized peer-to-peer network
Process:
Front-end
Smart contract (backend code)
Blockchain (P2P contract)
Normal application:

Normal application has a back-end code which runs on a centralized server
It’s a computer software application that is hosted on a central server
Process:
Front-end
API
Database (runs on the server)",dapps,
Name the steps that are involved in the Blockchain project implementation.,"Requirement identification:

Identify the problem and goal
Identify the most suitable consensus mechanism
Identify the most suitable platform
Account for implementation and deployment costs
Planning stage

In this stage and individual evaluates all requirements and decides a suitable blockchain platform to be implemented.
Development and implementation of a project

Designing the architecture
Designing the user interface
Building the APIs
Controlling and monitoring the project

Applying Proof of Concept (POC)
Identifying and fixing issues",life cycle,
 explain the parts of EVM memory.,"The memory of an EVM is divided into three types:

Storage:

Storage values are stored permanently on the Blockchain network
It is extremely expensive
Memory:

Memory is a temporary modifiable storage
It can be accessed only during contract execution. Once the execution is finished, its data is lost
Stack:

A stack is temporary and non-modifiable storage.
Here, when the execution completes, the content is lost.",EVM,
What happens if the execution of a smart contract costs more than the specified gas?,"Initially, your transaction will be executed, but if the execution of a smart contract costs more than the specified gas, then the miners will stop validating your contract. The Blockchain will record the transaction as failed, also the user doesn’t get a refund.",gas,
What does the gas usage in a transaction depend on and how is transaction fee calculated?,"Gas usage depends upon the amount of storage and set of instructions (codes) used in a smart contract. The transaction fee is calculated in Ether, which is given as:

Ether = Tx Fees = Gas Limit * Gas Price",fees,
What is the fork? What are some of the types of forking?,"There are three types of forking:

Hard forks
Soft forks
Accidental forks",fork,
What is mining difficulty,"Mining difficulty is the degree that determines how hard it is for miners in terms of hashing power (and thus also time) to find an eligible hash aka signature for their block (a block of transactions needs an eligible hash to be verified and added to the blockchain). On the Bitcoin blockchain, miners try to find an eligible hash by hashing random numbers.

A block of transactions will only be accepted by the rest of the network if it has a signature (hash) that meets certain requirements (in example of Bitcoin, the signature needs to start with a certain number of zeroes). In order to find this signature, miners are spending computational power (hashing power) to perform a set of pre-determined operations on random numbers untill they find a number that leads to an output number that meets the requirements.

Finding an output that starts with only one zero is much easier (generally more common) than finding an output number that starts with five consecutive zeroes (this is pretty rare so it would take much more time to find a number that leads to such output).

For example block 100 (back in 2009) only required a signature that started with eight consecutive zeroes, whereas the last recent block (block 542865) needed a signature that started with at least 18 consecutive zeroes.

",difficulty,
 Explain why there is a fixed supply of bitcoins?,"There is a fixed supply of bitcoins. There will never be more than 21 million bitcoins. Bitcoins are created each time a user discovers a new block. The rate of block creation is adjusted every 2016 blocks to aim for a constant two week adjustment period (equivalent to 6 per hour).

The number of bitcoins generated per block is set to decrease geometrically, with a 50% reduction every 210,000 blocks, or approximately four years. The result is that the number of bitcoins in existence will not exceed slightly less than 21 million.",supply,
" What is a trapdoor function, and why is it needed in blockchain development?",A trapdoor function is a function that is easy to compute in one direction but difficult to compute in the opposite direction unless you have special information. Trapdoor functions are essential for public key encryption—that’s why they are commonly used in blockchain development to represent the ideas of addresses and private keys.,trapdoor,
Explain why a blockchain needs tokens to operate,"Coins/tokens are used to implement changes between states. When somebody does a transaction, this is a change of state, and coins are moved from one address to another. Apart from that, transactions can contain additional data, and a change of state is used to mutate data—the only way to do this in an immutable-by-definition blockchain.

Technically, a blockchain doesn’t need coins for its essential operations, but without them, some other way needs to be introduced to manage states of the chain and to verify transactions.",tokens,
How do verifiers check if a block is valid?,"Every full node on the network does block verification. When a new block is announced, every node that receives it does a list of checks. The two most important checks are of proof of work (if a block provides enough work to be included into chain) and of the validity of all transactions (each transaction must be valid).

",verify,
compare cryptographic algorithms used in Blockchain,"Triple DES: DES stands for digital encryption system which uses 3 different keys of 56 bits.
RSA: It is used in several areas in the digital certificate which is a public key encryption algorithm to encrypt the information transferred on the internet.
Blowfish: It is highly effective and works with great speed which encrypts the cipher messages individually.
Twofish: It is similar to blowfish with keys of length 256 bits.
AES: Of all algorithms, AES is the strongest encryption algorithm to breach out as it uses 192 and 256 length bit keys for heavy encryption.",algorithms,
What is an ICO?,ICO or an Initial Coin Offering is a way to raise the company’s capital. The company create an additional token or a coin and sell it to the investors in exchange for the cash or other cryptocurrencies usually ethereum and bitcoin. You must take care in ICO that these are very risky and have a high risk of a scam.,ICO,
What is a Metamask and what is the type of Node Metamask uses,The Metamask is software used to interlink the Ethereum network with the networks of the browser.,metamask,
 Explain pragma and provide its syntax.,"Pragma is a version of Solidity that will be used by the code that is written in the solidity. For using solidity as a compiler and writing smart contracts the version should be higher than 0.4.0. Every Smart contract starts with pragma only.

Syntax: version pragma ^0.4.00.",syntax,
What are events in Solidity?,"An event allows contracts to return values to the user interface here an event function comes into action. Alternatively, if you want to create some synchronous trigger with data of your smart contract then an event is written in a program. They can also be used as a log in the system.",events,
What is Inheritance in Solidity?,Multiple Inheritances is supported by solidity which includes polymorphism. In this only one contract gets executed while the code from all the other contracts gets inherited into the final contract.,inheritance,
How to Store Your Bitcoin,Use a digital or paper wallet,wallet,
What Can You Buy with Bitcoin?,"From an exchange or an individual
",buy,
"Why Use Bitcoin?
","It's fast, cheap to use, and secure

",advantages,
"What is Bitcoin?
","It's a decentralized digital currency

",currency,
"How do Bitcoin Transactions Work?
","Bitcoin addresses and private keys

",address,
"Who is The founder or creator of bitcoin
","Satoshi Nakamoto
",creator,
Who is The founder or creator of ethereum,vitalik butarin,creator,
"What is a DAO?
","A 'decentralized autonomous organization'
",DAO,
"How Do Ethereum Smart Contracts Work?
","Code, transaction fees and 'gas'
",smart contract,
"How Will Ethereum Scale?
","‘Sharding’ and ‘off-chain’ transactions
",scale,
"How to Mine Ethereum
","GPUs, mining software and pools
",mine,
What is the Genesis Block?,its the first block of the blockchain,genesis block,
How are data stored on blockchain ?,Data is stored in the form of blocks.,blocks,
Which consenses algorithm does Ethereum use ?,Etherum uses Proof of work consensus algorithm.,consensus,
Who published Ethereum yellow paper .?,Gavinwood in april 2014.,white paper,
What is the mathematical struture used in Consesus Algorithm .?,Dagger is algorothm derived from Directed Acyclic Graph.,mathematical,
What is the major difference between Bitcoin and Ethereum .?,Smart contacts are the key difference between Bitcoin and Ethereum.,difference,
Smart contracts are compiled into stack based bytecode. These can be read and executed using .?,Ethereum virtual machine (abbrivation is EVM).,EVM,
The fuel that helps in measuring the computtional work required for performing transactions on Ethereum .?,The fuel that helps in measuring the computtional work required for performing transactions on Ethereum is GAS.,gas,
The organisation which can function properly without any management structure is called .?,The organisation which can function properly without any management structure is called DAO.,DAO,
The blockchain which ensured complete decentralization are .?,The blockchain which ensured complete decentralization are public blockchains.,decentralization,
Which blockchain built on a Ethereum based consortium blockchain created by JP Morgan .?,Quorum blockchain built on a Ethereum based consortium blockchain created by JP Morgan.,quorum,
Name some clients for Ethereum node .?,"Ganache , go-ethereum , Parity are some clients for Ethereum node.",clients,
What are different types of accounts in Ethereum .?,External accounts & contract accounts are the different types of accounts in Ethereum.,accounts,
What is the network id for mainnet in Ethereum .?,1 is the network id for mainnet in Ethereum.,networkid,
Transaction fees paid by the participants are recieved by .?,Transaction fees paid by the participants are recieved by miners.,fees,
What is the purpose of testnetworks when mainnets are available .?,Testing and constant R&D is the purpose of testnetworks when mainnets are availableto prevent disruption.,testing,
Name the command to check whether a user is listening to the node ( to know whether node has connected to other peers) .?,The command net.listening gives response in true or false format if the user is enabled to listen.,discovery,
What is the command to checkthe ports used by geth & finding enode URI .?,"The command admin.nodeinfo retrieves Name , node URI,nodeid,ip, discport , tcp port , listen address.",enode,
The chrome extension which helps in posting transactions and store compatible tokens with Ethereum is .?,Metamask enables users to store and send any eth compatible tokens.,metamask,
The key which helps in generating public key and signatures is .?,Private key is the key Which helps in generating public key and signatures.,signature,
What is the set of x and y coordinates on elliptic curve satisfying Elliptic Curve equation .?,Public key is the set of x and y coordinates on elliptic curve satisfying elliptic curve equation.,ECDSA,
Ethereum address stats with ? ,Ethereum address starts with 0x.,address,
Public key cryptography is also referred as ? ,Public key cryptography is also referred as Asymmetric Cryptography .,asymmetric,
The process of message digest integrating with private key is called as ? ,The process of message digest integrating with private key is called as Digital signature.,signature,
the key which helps in provding the ownership of your assets and your funds is ? ,The key Which helps in provding the ownership of your assets and your funds is private key.,private key,
How many bits does private key has .? & name the format .?,The Private key has 256 bits number of bits and in HEXADECIMAL format.,private key,
What is Ethereum public key length .?,The Ethereum public key 64 bytes length.,public key,
What is the total number of output bytes string length of keccak256 hash .?,The output string length of keccak256 hash is 32bytes.,hashing,
What is the first currency that built against gold standard and fiat currencies .?,Bitcoin is the first currency that built against gold standard and fiat currencies.,fiat,
What is the currency used in Ethereum in paying to carryout a transaction in Ethereum .?,Ether ETH is the currency used in Ethereum in paying to carryout a transaction in Ethereum .,ether ,
Where does the keys of users store .?,When you initialise blockchain in a new data directory a folder Named keystore is created to store all of the keys.,keystore,
What refers to a pool of test Ethereum network from which the user requests test ETHs and sends them directly to account .?,Faucets refers to a pool of test Ethereum network from Which the user requests test ETHs and sends them directly to account.,faucets,
what is not a Ethereum denominations .?,1ETH is 10 ** 12 szabo.,denominations,
What is the supply cap for Bitcoin .?,2.1million is the supply cap for Bitcoin.,supply,
How many satoshis make 1 BTC ? .?,1 BTC = 10**8 satoshis.,satoshi,
After How many blocks Bitcoin miner reward is halfed .?,After every 210000 blocks Bitcoin miner reward is halfed.,halfed,
Which wallets are like a portable hardisk used to store cryptocurrencies .?,Hardware wallets are like a portable hardisk used to store cryptocurrencies.,wallet,
Which wallets are most prone to hacking .?,Storing private keys with 3rd party wallets are most prone to hacking .,wallet,
Which wallet is a GUI based wallet used for creating Ethereum wallets .?,"Metamask,myetherwallet,mist wallet is a GUI based wallet used for creating Ethereum wallets.",wallet,
How many signatures does a Multi sig wallet needs prior to the execution of transactions .?,A multi sig wallet needs more than one signatures prior to the execution of transactions.,wallet,
Which one of them is a NODEJS framework for Ethereum Which compiles and deploys smart contracts .?,"VScode, Truffle is a NODEJS framework for Ethereum Which compiles and deploys smart contracts.",framework,
Which of them is a virtual blockchain with existing accounts to play with .?,Ganache is a virtual blockchain with existing accounts to play with.,virtual,
Smart contracts in Ethereum can be wriiten in .?,"smart contracts in Ethereum can be wriiten in solidity , Vyper, LLL .",language,
Full Ethereum node implemented in go langauge is called .?,Full Ethereum node implemented in go langauge is called geth .,node,
Which blockchain emulator facilitates the process of making calls to blockchain without calling actual node .?,Testrpc blockchain emulator facilitates the process of making calls to blockchain without calling actual node .,framework,
Name some Ethereum frameworks .?,"web3.js , embark , Truffle are some Ethereum frameworks.",platforms,
Name some decentralized communication platforms .?,"Orbit , Whisper are some decentralized communication platforms.",storage,
Name some decentralized storage platforms .?,"IPFS, Swarm are some decentralized storage platforms.",genesis block,
What the first block of the blockchain called .?,The first block of the blockchain called genesis.,genesis block,
Which tool helps in creating genesis file .?,The puppeth tool helps in creating genesis file .,directory,
Name the directory where the blockchain source files are stored .?,The datadir is the directory where the blockchain source files are stored .,discovery,
What disables peer discovery mechanism .?,The command nodiscover disables peer discovery mechanism .,rpc,
What enables HTTP-RPC server .?,The command --rpc enables HTTP-RPC server.,cross origin,
What enables the list of domains from Which cross orgin request is to be accepted .?,The command rpccorsdomain enables the list of domains from Which cross orgin request is to be accepted.,networkid,
What is the Network id (network identifier) for Ropsten test Ethereum network .?,3 is the network id (network identifier) for Ropsten test Ethereum network.,networkid,
Name the folder which includes the leveldb database files represent blocks added in Ethereum .?,"The ""chaindata"" is the folder Which includes the leveldb database files represent blocks added in Ethereum.",chaindata,
What is the command to start mining in Ethereum with 4 threads .?,The command miner.start(4) is the command to start mining in Ethereum with 4 threads.,mining,
What is the command to create new account .?,"The ""geth account new"" , ""personal.NewAccount()"" is the command to create new account.",account ,
What is the command which retrieves true if its mining else no .?,The command eth.mining retrieves true if its mining else no .,mining,
What is the retrieves the latest block number .?,The command eth.blockNumber retrieves the latest block number.,blocknumber,
What is the command to generate Ethereum accounts .?,The command eth.accounts retrieves generated Ethereum accounts.,account ,
What is the command which gives details about currently connected networks .?,The command eth.net gives details about corrently connected networks.,net,
What is the command which retrives the list of created Ethereum accounts .?,The command eth.getAccounts retrives the list of created Ethereum accounts.,account ,
What is the command which imports All of the given unencrypted private keys into the keystore and encryots them with the help of passphrase entered during account creation .?,"The command personal.importRawKey(keydata,passphrase) imports All of the given unencrypted private keys into the keystore and encryots them with the help of passphrase entered during account creation.",private key,
What is the command which helps in the creation of new Ethereum accounts .?,The command personal.newAccount() helps in the creation of new Ethereum accounts.,account ,
What is the command which calcuates an signature with sign(keccak256(message + len(message ) + message)) .?,"The command personal.sign(message,account,[password]) calcuates an signature with sign(keccak256(message + len(message ) + message)).",signature,
What is the command which returns the address associated with the private key that has been used for calcuating the signature in personal sign .?,"The command personal.ecrecover(message,signature) returns the address associated with the private key that has been used for calcuating the signature in personal sign.",verify,
What is the command which requests for the addition of a new remote node to the list of tracked static nodes .?,The command admin.addPeer(url) requests for the addition of a new remote node to the list of tracked static nodes.,peer,
What is the command which is used to retrieve the absolute path that the tunning geth node currently uses to store all its databases .?,The command admin.datadir is used to retrieve the absolute path that the tunning geth node currently uses to store all its databases.,datadir,
What is the command which fetches all information about the running geth node al the networking level .?,The command admin.nodeInfo() fetches all information about the running geth node al the networking level.,nodeinfo,
What is the command which retrieves all info about the connected remore nodes at the networking level .?,The command admin.Peers() retrieves all info about the connected remore nodes at the networking level.,peers,
What is the command which retrieves the boolean value that specifies whether the HTTP RPC listener is open or not .?,"admin.startRPC(host,port,cors,apis) retrieves the boolean value that specifies whether the HTTP RPC listener is open or not.",rpc,
What is the command which retrieves the bool value of currently open HTTP RPC and closes it .?,admin.stopRPC() retrieves the bool value of currently open HTTP RPC and closes it .,rpc,
What is the command which sets the logging backtrace location .?,The command debug.backtraceAt(string) sets the loggin backtrace location.,debug,
What is the command which retrieves the state that correspons to the blocknumber and returns a list of accounts .?,The command debug.DumpBlock(number uint64)(stateWorld error) retrieves the state that correspons to the blocknumber and returns a list of accounts.,debug,
What is command which starts runtime tracing for the given duration and writes trace data to disk .?,"The command debug.goTrace(file, seconds) starts runtime trcing for the given duration and writes trace data to disk.",debug,
What is the command which returns detailed runtime memory statistics .?,The command debug.memStats() returns detailed runtime memory statistics.,debug,
What is the command which returns a printed representation of stacks of all goroutines .?,The command debug.stacks() returns a printed representation of stacks of all goroutines.,debug,
What is the command which stops on ongoing CPU profile .?,The command debug.stopCPUProfile() stops on ongoing CPU profile.,debug,
What is the command which stops writing the go runtime trace .?,The command debug.startGoTrace(file) stops writing the go runtime trace.,debug,
What is the command which starts the CPU mining process with a given number of threads and created DAG .?,The command miner.start(number) starts the CPU mining process with a given number of threads and created DAG.,miner,
What is the command which stops the CPU mining operation .?,The command miner.Stop() bool stops the CPU mining operation .,miner,
What is the command which sets a minimal accepted gas price while validating transactions during the mining of a block .?,The command miner.setGasPrice(number) sets a minimal accepted gas price while validating transactions during the mining of a block.,miner,
What is the command which sets the etherbase where the mining rewards will go .?,The command miner.setEtherbase(address) sets the etherbase where the ining rewards will go.,miner,
What is the command which sets extra data moslty of 32 bytes that a miner can include while mining blocks .?,The command miner.setExtra(string) sets extra data moslty of 32 bytes that a miner can include while mining blocks.,txpool,
What is the command which retrieves a list with exact details of all transactions Which are waiting to be added in the subsequent blocks(pending and queued) .?,The command txpool.content retrieves a list with exact details of all transactions Which are waiting to be added in the subsequent blocks(pending and queued).,txpool,
What is the command which retreives the textual summary of all transactions that are waiting to be added in the subsequent blocks(pending and queued) .?,The command txpool.inspect retreives the textual summary of all transactions that are waiting to be added in the subsequent blocks(pending and queued).,txpool,
What is the command which retrieves the number of transactions currently waiting for inclusion in the subsquent blocks(pending and queued) .?,The command txpool.status retrieves the np. if transactions currently waiting for inclusion in the subsquent blocks(pending and queued).,txpool,
Which functions help in managing the over all functionality of Ethereum blockchain .?,"The ""web3.eth.personal"" functions help in managing the over all functionality of Ethereum blockchain.",web3,
Which functions offer access to several non standard RPCS .?,"The ""web3.eth.admin"" functions offer access to several non standard RPCS .",web3,
Which functions help in providing access to several non standard RPCS that helps in inspecting debugging and setting flgs during runtime .?,"The ""web3.eth.debug"" functions help in providing access to several non standard RPCS that helps in inspecting debugging and setting flgs during runtime.",web3,
Which functions help to control the nodes mining operation remotely and to set various mining setting .?,"The ""web3.eth.miner"" functions help to control the nodes mining operation remotely and to set various mining setting.",web3,
Which functions allow you to access different non standard RPC methods for inspecting transactions .?,"The ""web3.eth.txpool"" functions allow you to access different non standard RPC methods for inspecting transactions.",web3,
The concept of smart contracts was introduced by .?,The concept of smart contracts was introduced by nick szabo.,smart contract,
What can you transfer using smart contracts .?,"The Assets , tokens , value store can be transferred using smart contracts.",smart contract,
What are all the options are true about about smart contracts .?,Smart contracts are self verifying in nature is true about about smart contracts.,smart contract,
Smart contracts in Ethereum are written in .?,Smart Contracts in Ethereum is written in solidity.,smart contract,
Smart contracts are converted into byte code using .?,Smart contracts are converted into byte code using EVM.,smart contract,
Default Ethereum runs on which port .?,8545 is the default Ethereum runs on Which port.,port,
"Which framework helps to compile,deploy, migrate and test the smart contracts .?","The Truffle, Parity is the frameworks helps to compile,deploy, migrate and test the Smart contract.",truffle,
Which of the one is not a valid Truffle command .?,The Truffle close is not a valid command.,truffle,
What is a browser based tool for enabling the users to write the smart contracts .?,Remix is a browser based tool for enabling the users to write the smart contracts.,remix,
What is IDE .?,IDE means integrated development environment.,remix,
What is the collection of libraries that helps in interacting with a local or remote Ethereum node .?,The web3 is the collection of libraries that helps in interacting with a local or remote Ethereum node.,web3,
Web3 allows helps in interacting using .?,The web3 library allows helps in interacting using IPC.,web3,
Name the command to compile the contract source files .?,The Truffle compile is the command to compile the contract source files.,truffle,
Name the command to start a local development blockchain at 9545 in Truffle .?,The Truffle develop is the command to start a local development blockchain at 9545 in Truffle.,truffle,
Name the command to test before actual deplyment on main blockchain .?,The Truffle test is the command to test before actual deplyment on main blockchain.,truffle,
Name the command Which helps in staging the deployment tasks .?,The Truffle migrate is the command Which helps in staging the deployment tasks.,truffle,
"Ethereum node distinguishes between writing data to the network and reading from the network, reading and writing is known as .?","The Ethereum node distinguishes between writing data to the network and reading from the network, reading and writing is known as transaction , call.",transactions,
Name some web3.eth commands .?,"The getAccounts,getBalance , coinbase , sendTransaction,getBlockNumber are web3.eth commands.",web3,
Name the library used for Whisper protocol to communicate P2P and broadcast .?,The web3.ssh is the library used for Whisper protocol to communicate P2P and broadcast.,web3,
What provides an API to interact with the Ethereum Swarm - decentralized file storage platform .?,The web3.bzz provides anAPI to interact with the Ethereum Swarm - decentralized file storage platform.,web3,
What is the command which is used for all methods Which have a block parameter .?,The command defaultBlock is used for all methods which have a block parameter.,defaultBlock,
What is the command which is used as the default 'from' adddress .?,The command defaultAccount used as the default 'from' adddress.,defaultAccount,
What is the command which is used to request gas price .?,The command defaultGas request gas price.,defaultgas,
What is the command which is used over a socket-based connection for defining the no. of new blocks. .?,The command transactionBlockTimeout used over a socket-based connection for defining the no. of new blocks..,transactions,
What is the command which defines the number of blocks that are required for confirminga transaction .?,The command transactionConfirmationBlocks defines the number of blocks that are required for confirminga transaction.,transactions,
What is the command which is used over an HTTP connection for define the no. of polls until the confirmation of first transaction .?,The command transactionPollingTimeout used over an HTTP connection for define the no. of polls until the confirmation of first transaction.,transactions,
What is the command which is used to customize the signing process of the eth module and related submodules .?,The command transactionSigner is used to customize the signing process of the eth module and related submodules .,transactions,
What is the measure of computational cost for performing transactions .?,The Gas is the measure of computational cost for performing transactions.,gas,
Who can increase the gas price as a group by voting for it .?,Miners increase the gas price as a group by voting for it.,mining,
How many ETH makes 1 Szabo .?,1 Szabo is 0.00001 Eth.,denominations,
"What are the gas cost for sha3 , balance , call , sload the operations on EVM .?","20 is the gas cost for sha3 , balance , call , sload the operations on EVM .",gas,
What is ABI .?,ABI is application binary interface.,ABI,
What is the specific data encoding scheme Which is helpful while working with smart contracts .?,ABI is the specific data encoding scheme Which is helpful while working with smart contracts.,ABI,
